product,category,sub_category,brand,sale_price,rating
Coffee Energizing Face Scrub,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,3.0
Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90.0,4.4
Ultra Soft New Born Diapers - Extra Small,Baby Care,Diapers & Wipes,Huggies,699.0,3.9
Ylang Ylang Essential Oil,Beauty & Hygiene,Skin Care,Soulflower,328.0,4.5
Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,4.3
Soap,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,430.0,5.0
"LED Bulb - 12 Watt, Cool Daylight, B22 Base","Kitchen, Garden & Pets",Appliances & Electricals,AGARO,159.0,4.0
Jaggery/Bella Powder - Pesticide Free,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Safe Harvest,56.0,3.9
Ready Masala - Kashmiri Meat,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,19.0,4.2
Breakfast Mix - Finger Millet Ragi Idli,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,119.0,4.2
Herbal Wine Grapefruit Lip Balm,Beauty & Hygiene,Skin Care,Khadi Natural,99.0,4.4
Masala Upma,Snacks & Branded Foods,Ready To Cook & Eat,MOM Meal of the Moment,20.0,3.4
Bath & Body Oil - Oriental Spicy Rose,Beauty & Hygiene,Skin Care,Oriental Botanics,699.0,2.0
"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",Beauty & Hygiene,Skin Care,Bio-Oil,333.0,4.2
Brioche,"Bakery, Cakes & Dairy",Gourmet Breads,The Baker's Dozen,155.0,4.4
"Notebook - Unruled, Long",Cleaning & Household,Stationery,Classmate,33.0,4.3
Instant Noodles - Soy & Vinegar,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,67.5,3.6
Gluten-Free Quinoa Flour,Gourmet & World Food,Cooking & Baking Needs,Graminway,378.0,3.7
"Chikki, Peanut Bar",Snacks & Branded Foods,Indian Mithai,Paper Boat,40.0,4.1
Fields Of Gold Organic Cumin - Whole,"Foodgrains, Oil & Masala",Organic Staples,PRISTINE,52.0,4.4
Synthetic Food Colour Preparation Lemon Yellow,Snacks & Branded Foods,Ready To Cook & Eat,999,20.0,4.0
"Toothpaste - Gum Care, Expert Protection",Beauty & Hygiene,Oral Care,Pepsodent,78.4,4.3
Bio Myristica Spot Correcting Anti Acne Face Pack,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,3.9
"Stainless Steel Frying Ladle - No. 9, Silvera","Kitchen, Garden & Pets",Kitchen Accessories,Anjali,65.0,3.7
OvenOrg Multi Millet Rusk,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",PRISTINE,35.0,1.8
Masterchefs Germ Protection Liquid Handwash Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,147.0,4.2
Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,4.2
Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,Gourmet & World Food,Oils & Vinegar,Zoe,449.1,5.0
Wonderz Milk Shakes - Classic Vanilla,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,4.5
Marie Light Biscuits - Oats Fibre,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25.0,4.3
Masala - Chicken,"Foodgrains, Oil & Masala",Masalas & Spices,Annapoorna,28.0,4.8
Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,4.3
Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699.0,4.1
Plastic Dustbin - Beige,Cleaning & Household,Bins & Bathroom Ware,DP,249.0,4.1
Jeera Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,44.2,4.1
Pure Neem Skin Purifying Face Wash,Beauty & Hygiene,Skin Care,Joy,90.0,4.3
Lavender & Vanilla Handmade Luxury Soap,Beauty & Hygiene,Bath & Hand Wash,StBotanica,275.0,5.0
